"Shkoder, Albania","Shkodran, Shkoder"
"Tirana, Albania","Tiranas, Tirons, Tirana"
"Buenos Aires, Argentina","Bonaerense, Porteño, Buenos Aires"
"Yerevan, Armenia","Yerevantsi, Yerevan"
"Adelaide, Australia","Adelaidean, Adelaide"
"Armidale, Australia","Armidilian, Armidale"
"Brisbane, Australia","Brisbanite, Brisbane"
"Cairns, Australia","Cairnsitte, Cairns"
"Canberra, Australia","Canberran, Canberra"
"Darwin, Australia","Darwinian, Darwin"
"Devonport, Australia","Devonportian, Devonport"
"Gold Coast, Australia","Gold Coast, Gold Coast"
"Hobart, Australia","Hobartian, Hobart"
"Melbourne, Australia","Melburnian, Melbourne"
"Newcastle, Australia","Novocastrian, Newcastle"
"Perth, Australia","Perth, Perth"
"Sydney, Australia","Sydney, Sydney"
"Toowoomba, Australia","Toowoomban, Toowoomba"
"Townsville, Australia","Townsvillian, Townsville"
"Graz, Austria","Grazer, Graz"
"Linz, Austria","Linzer, Linz"
"Vienna, Austria","Viennese, Wiener, Vienna"
"Brussels, Belgium","Bruxelloi, Brusselaar, Brusseleer, Brussels"
"Tournai, Belgium","Tournaisian, Tournai"
"La Paz, Bolivia","Paceno, La Paz"
"Santa Cruz de la Sierra, Bolivia","Cruceno, Santa Cruz de la Sierra"
"Sarajevo, Bosnia and Herzegovina","Sarajevan, Sarajevo"
"Belo Horizonte, Brazil","Belo-Horizontino, Belo Horizonte"
"Brasilia, Brazil","Brasiliense, Brasilia"
"Campinas, Brazil","Campineiro, Campinas"
"Curitiba, Brazil","Curitibano, Curitiba"
"Foz do Iguaçu, Brazil","Iguacuense, Foz do Iguacu"
"Itabira, Brazil","Itabirano, Itabira"
"Juiz de Fora, Brazil","Juiz-forano, Juiz de Fora"
"Londrina, Brazil","Londrinense, Londrina"
"Manaus, Brazil","Manauara, Manauense, Manaus"
"Porto Alegre, Brazil","Porto-Alegrense, Porto Alegre"
"Rio de Janeiro, Brazil","Carioca, Rio de Janeiro"
"Salvador, Brazil","Soteropolitano, Salvador"
"Sao Carlos, Brazil","Saocarlense, Carlopolitano, Sao Carlos"
"Sao Luis, Brazil","Ludovicense, Sao Luis"
"Sao Paulo, Brazil","Paulistano, Sao Paulo"
"Uberlandia, Brazil","Uberlandense, Uberlandia"
"Sofia, Bulgaria","Sofian, Sofia"
"Calgary, Canada","Calgarian, Calgary"
"Edmonton, Canada","Edmontonian, Edmonton"
"Fredericton, Canada","Frederictonian, Fredericton"
"Halifax, Canada","Haligonian, Halifax"
"Hamilton, Canada","Hamiltonian, Hamilton"
"Iqaluit, Canada","Iqalummiuq, Iqalummiut, Iqaluit"
"Kitchener, Canada","Kitchenerite, Kitchener"
"Laval, Canada","Lavalois, Laval"
"Montreal, Canada","Montreal, Montreal"
"Oakbank, Canada","Oakbankian, Oakbank"
"Ottawa, Canada","Ottawan, Ottawa"
"Quebec City, Canada","Quebecois, Quebec City"
"Red Deer, Canada","Red Deerian, Red Deer"
"Regina, Canada","Regina, Reginan, Regina"
"Saskatoon, Canada","Saskatoon, Saskatonian, Saskatoon"
"Toronto, Canada","Torontonian, Toronto"
"Trois-Rivières, Canada","Trifluvien, Trifluvienne, Trifluvian, Trois-Rivières"
"Vancouver, Canada","Vancouverite, Vancouver"
"Winnipeg, Canada","Winnipeggers, Winnipeger, Winnipeg"
"Beijing, China","Beijinger, Pekinese, Beijing"
"Hong Kong, China","Hong Kong, Hongkongish, Hongkongese, Hong Kong"
"Macau, China","Macanese, Macau"
"Shanghai, China","Shanghainese, Shanghai"
"Bogota, Colombia","Bogotan, Bogota"
"Zagreb, Croatia","Zagreber, Zagrebian, Zagreb"
"Nicosia, Cyprus","Nicosian, Nicosia"
"Prague, Czech Republic","Praguer, Prague"
"Copenhagen, Denmark","Copenhagener, Copenhagen"
"Alexandria, Egypt","Alexandrian, Alexandria"
"Cairo, Egypt","Cairene, Cairo"
"Tallinn, Estonia","Tallinner, Tallinn"
"Helsinki, Finland","Helsinkian, Helsinki"
"Bordeaux, France","Bordelais, Bordeaux"
"Lyon, France","Lyonese, Lyonnais, Lyons, Lyon"
"Marseille, France","Marseillais, Marseille"
"Nice, France","Nicois, Nice"
"Paris, France","Parisian, Paris"
"Reims, France","Remois, Cornichon, Rheims, Reims"
"Strasbourg, France","Strasbourgeois, Strasbourg"
"Trois-Rivieres, France","Trois-rivieran, Trois-Rivieres"
"Vichy, France","Vichyssois, Vichy"
"Tbilisi, Georgia","Tbilisian, Tbilisi"
"Berlin, Germany","Berliner, Berlin"
"Dresden, Germany","Dresdener, Dresden"
"Frankfurt, Germany","Frankfurter, Frankfurt"
"Hamburg, Germany","Hamburger, Hamburg"
"Hanover, Germany","Hanoverian, Hanover"
"Munich, Germany","Munchner, Munich"
"Stuttgart, Germany","Stuttgarter, Stuttgart"
"Athens, Greece","Athenian, Athens"
"Carystus, Greece","Carystian, Carystus"
"Corinth, Greece","Corinthian, Corinth"
"Epidaurus, Greece","Epidaurian, Epidaurus"
"Kastoria, Greece","Kastorian, Kastoria"
"Marathon, Greece","Marathonian, Marathon"
"Megara, Greece","Megarian, Megara"
"Pylos, Greece","Pylian, Pylos"
"Rethymno, Greece","Rethymnian, Rethymno"
"Rhodes, Greece","Rhodian, Rhodes"
"Serres, Greece","Serrean, Serres"
"Sparta, Greece","Spartan, Sparta"
"Thebes, Greece","Theban, Thebes"
"Thessaloniki, Greece","Thessalonian, Thessaloniki"
"Xanthi, Greece","Xanthian, Xanthi"
"Budapest, Hungary","Budapesti, Budapest"
"Bangalore, India","Bangalorean, Bangalore"
"Chennai, India","Chennaite, Chennai"
"Delhi, India","Delhiite, Delhi"
"Hyderabad, India","Hyderabadi, Hyderabad"
"Mumbai, India","Mumbaikar, Mumbai"
"Bandung, Indonesia","Bandungite, Bandung"
"Jakarta, Indonesia","Jakartan, Jakarta"
"Jerusalem, Israel","Jerusalemite, Jerusalem"
"Amalfi, Italy","Amalfitan, Amalfi"
"Aosta, Italy","Aostan, Aostain, Aosta"
"Benevento, Italy","Beneventan, Benevento"
"Bergamo, Italy","Bergamasque, Bergamo"
"Bologna, Italy","Bolognese, Bologna"
"Brescia, Italy","Brescian, Brescia"
"Florence, Italy","Florentine, Florence"
"Genoa, Italy","Genoese, Genoa"
"Livorno, Italy","Leghornese, Livornese, Livorno"
"Lucca, Italy","Lucchese, Lucca"
"Mantua, Italy","Mantuan, Mantua"
"Messina, Italy","Messinese, Messina"
"Milan, Italy","Milanese, Milan"
"Modena, Italy","Modenese, Modena"
"Naples, Italy","Neapolitan, Naples"
"Padua, Italy","Paduan, Padua"
"Palermo, Italy","Palermitan, Palermo"
"Parma, Italy","Parmesan, Parma"
"Perugia, Italy","Perugian, Perugia"
"Pisa, Italy","Pisan, Pisa"
"Pompeii, Italy","Pompeian, Pompeiian, Pompeii"
"Rome, Italy","Roman, Rome"
"Salerno, Italy","Salernitan, Salerno"
"Siena, Italy","Sienese, Siennese, Sienna, Siena"
"Sorrento, Italy","Sorrentine, Sorrento"
"Spoleto, Italy","Spoletian, Spoleto"
"Syracuse, Italy","Syracusan, Syracuse"
"Taranto, Italy","Tarantine, Tarentine, Taranto"
"Trent, Italy","Tridentine, Trent"
"Trieste, Italy","Triestine, Trieste"
"Turin, Italy","Turinese, Turin"
"Venice, Italy","Venetian, Venice"
"Verona, Italy","Veronese, Verona"
"Vicenza, Italy","Vicentine, Vicenza"
"Osaka, Japan","Osakan, Osaka"
"Tokyo, Japan","Edokko, Tokyoite, Tokyo"
"Pristina, Kosovo","Prishtinali, Prishtina, Pristinci, Pristevci, Pristina"
