Abkhazia,"Abkhazia, Abkhaz, Abkhazian, Abkhazians"
Afghanistan,"Afghanistan, Afghan, Afghans"
Albania,"Albania, Albanian, Albanians"
Algeria,"Algeria, Algerian, Algerians"
American Samoa,"American Samoa, American Samoan, American Samoans"
Andorra,"Andorra, Andorran, Andorrans"
Angola,"Angola, Angolan, Angolans"
Anguilla,"Anguilla, Anguillan, Anguillans"
Antarctica,"Antarctica, Antarctic"
Antigua and Barbuda,"Antigua and Barbuda, Antiguan or Barbudan, Antiguans, Barbudans"
Argentina,"Argentina, Argentine, Argentines"
Armenia,"Armenia, Armenian, Armenians"
Aruba,"Aruba, Aruban, Arubans"
Australia,"Australia, Australian, Australians"
Austria,"Austria, Austrian, Austrians"
Azerbaijan,"Azerbaijan, Azerbaijani, Azeri, Azerbaijanis, Azeris"
The Bahamas,"Bahamas, The, Bahamian, Bahamians"
Bahrain,"Bahrain, Bahraini, Bahrainis"
Bangladesh,"Bangladesh, Bangladeshi, Bangladeshis"
Barbados,"Barbados, Barbadian, Barbadians"
Belarus,"Belarus, Belarusian, Belarusians"
Belgium,"Belgium, Belgian, Belgians"
Belize,"Belize, Belizean, Belizeans"
Benin,"Benin, Beninese, Beninois, Beninoises"
Bermuda,"Bermuda, Bermudian, Bermudan, Bermudians, Bermudans"
Bhutan,"Bhutan, Bhutanese, Bhutanese"
Bolivia,"Bolivia, Bolivian, Bolivians"
Bonaire,"Bonaire, Bonaire, Bonaire Dutch"
Bosnia and Herzegovina,"Bosnia and Herzegovina, Bosnian, Herzegovinian, Bosnians, Herzegovinians"
Botswana,"Botswana, Motswana, Botswanan, Motswana, Botswanans"
Bouvet Island,"Bouvet Island"
Brazil,"Brazil, Brazilian, Brazilians"
Brunei,"Brunei, Bruneian, Bruneians"
Bulgaria,"Bulgaria, Bulgarian, Bulgarians"
Burkina Faso,"Burkina Faso, Burkinabe, Burkinabe"
Burma,"Burma, Burmese, Burmese, Bamar"
Burundi,"Burundi, Burundian, Burundians, Barundi"
Cabo Verde,"Cabo Verde, Cabo Verdean, Cabo Verdeans"
Cambodia,"Cambodia, Cambodian, Cambodians"
Cameroon,"Cameroon, Cameroonian, Cameroonians"
Canada,"Canada, Canadian, Canadians"
Cape Verde,"Cape Verde, Cabo Verdean, Cabo Verdeans"
Cayman Islands,"Cayman Islands, Caymanian, Caymanians"
Central African Republic,"Central African Republic, Central African, Central Africans"
Chad,"Chad, Chadian, Chadians"
Chile,"Chile, Chilean, Chileans"
China,"China, Chinese, Chinese"
Taiwan,"Taiwan, Taiwan, Taiwanese"
Christmas Island,"Christmas Island, Christmas Island, Christmas Islanders"
Cocos Islands,"Cocos Islands, Cocos Island, Cocos Islanders"
Colombia,"Colombia, Colombian, Colombians"
Comoros,"Comoros, Comoran, Comorian, Comorans, Comorians"
Congo,"Congo, Congolese, Congolese"
Cook Islands,"Cook Islands, Cook Island, Cook Islanders"
Costa Rica,"Costa Rica, Costa Rican, Costa Ricans"
Croatia,"Croatia, Croatian, Croatians, Croats"
Cuba,"Cuba, Cuban, Cubans"
Curacao,"Curacao, Curacaoan, Curacaoans"
Cyprus,"Cyprus, Cypriot, Cypriots"
Czech Republic,"Czech Republic, Czech, Czechs"
Ivory Coast,"Cote d'Ivoire, Ivorian, Ivorians"
Denmark,"Denmark, Danish, Danes"
Djibouti,"Djibouti, Djiboutian, Djiboutians"
Dominican Republic,"Dominican Republic, Dominican, Dominicans"
East Timor,"East Timor, Timorese, Timorese"
Ecuador,"Ecuador, Ecuadorian, Ecuadorians"
Egypt,"Egypt, Egyptian, Egyptians"
El Salvador,"El Salvador, Salvadoran, Salvadorans"
England,"England, English, British, Englishmen"
Equatorial Guinea,"Equatorial Guinea, Equatorial Guinean, Equatoguinean, Equatorial Guineans, Equatoguineans"
Eritrea,"Eritrea, Eritrean, Eritreans"
Estonia,"Estonia, Estonian, Estonians"
Ethiopia,"Ethiopia, Ethiopian, Ethiopians"
Falkland Islands,"Falkland Islands, Falkland Island, Falkland Islanders"
Faroe Islands,"Faroe Islands, Faroese, Faroese"
Fiji,"Fiji, Fijian, Fijians"
Finland,"Finland, Finnish, Finns"
France,"France, French, Frenchmen"
French Guiana,"French Guiana, French Guianese, French Guianese"
French Polynesia,"French Polynesia, French Polynesian, French Polynesians"
French Southern Territories,"French Southern Territories, French Southern Territories, French"
Gabon,"Gabon, Gabonese, Gabonese"
The Gambia,"The Gambia, Gambian, Gambians"
Georgia,"Georgia, Georgian, Georgians"
Germany,"Germany, German, Germans"
Ghana,"Ghana, Ghanaian, Ghanaians"
Gibraltar,"Gibraltar, Gibraltar, Gibraltarians"
Great Britain,"Great Britain, British, UK, United Kingdom, Britons, British"
Greece,"Greece, Greek, Hellenic, Greeks, Hellenes"
Greenland,"Greenland, Greenlandic, Greenlanders"
Grenada,"Grenada, Grenadian, Grenadians"
